Ids	names
YNR054C  	ABT1                                                 
YOL005C  	                                                     
YOL010W  	                                                     
YOL021C  	RRP44                                                
YOL022C  	                                                     
YOL026C  	TOM13                                                
YOL034W  	                                                     
YOL038W  	                                                     
YOL040C  	RPS21                                                
YOL066C  	PUS8                                                 
YOL069W  	                                                     
YOL077C  	                                                     
YOL078W  	                                                     
YOL094C  	                                                     
YOL097C  	HRE342                                               
YOL102C  	                                                     
YOL120C  	RP28A                                                
YOL123W  	"NAB5, NAB4                                           "
YOL127W  	                                                     
YOL130W  	SWC3                                                 
YOL133W  	"HRT2, ROC1, RBX1                                     "
YOL134C  	                                                     
YOL135C  	                                                     
YOL139C  	TIF45                                                
YOL142W  	                                                     
YOL144W  	                                                     
YOL146W  	                                                     
YOL149W  	                                                     
YOR004W  	                                                     
YOR020C  	CPN10                                                
YOR046C  	RAT8                                                 
YOR048C  	"XRN2, TAP1, HKE1                                     "
YOR056C  	YOR29-07                                             
YOR057W  	YOR29-08                                             
YOR060C  	YOR29-11                                             
YOR063W  	"YOR29-14, TCM1, MAK8                                 "
YOR074C  	"YOR29-25, TMP1, CRT9                                 "
YOR075W  	YOR29-26                                             
YOR077W  	YOR29-28                                             
YOR095C  	                                                     
YOR098C  	                                                     
YOR102W  	                                                     
YOR103C  	                                                     
YOR110W  	                                                     
YOR116C  	"RPC160, RPC1                                         "
YOR117W  	YTA1                                                 
YOR119C  	RRP10                                                
YOR122C  	PRF1                                                 
YOR143C  	                                                     
YOR145C  	"RRP20, DIM2                                          "
YOR146W  	                                                     
YOR148C  	                                                     
YOR149C  	"SAP2, LAS2                                           "
YOR151C  	"SOH2, SIT2, RPO22, RPB150                            "
YOR157C  	                                                     
YOR159C  	                                                     
YOR160W  	KAP111                                               
YOR168W  	                                                     
YOR169C  	                                                     
YOR174W  	                                                     
YOR176W  	                                                     
YOR181W  	BEE1                                                 
YOR194C  	                                                     
YOR203W  	                                                     
YOR204W  	SPP81                                                
YOR206W  	                                                     
YOR207C  	"RPC128, RPC2, PDS2                                   "
YOR210W  	                                                     
YOR217W  	CDC44                                                
YOR218C  	                                                     
YOR224C  	                                                     
YOR232W  	"GRPE, YGE1                                           "
YOR236W  	                                                     
YOR244W  	TAS1                                                 
YOR249C  	RMC1                                                 
YOR250C  	                                                     
YOR254C  	PTL1                                                 
YOR256C  	                                                     
YOR257W  	DSK1                                                 
YOR259C  	"SUG2, PCS1, CRL13                                    "
YOR260W  	TRA3                                                 
YOR261C  	                                                     
YOR262W  	                                                     
YOR272W  	                                                     
YOR278W  	SLU2                                                 
YOR281C  	                                                     
YOR282W  	                                                     
YOR287C  	                                                     
YOR294W  	                                                     
YOR310C  	NOP5                                                 
YOR319W  	                                                     
YOR326W  	CDC66                                                
YOR329C  	FTB1                                                 
YOR335C  	CDC64                                                
YOR336W  	                                                     
YOR340C  	                                                     
YOR341W  	RRN1                                                 
YOR353C  	                                                     
YOR361C  	"DNA26, CDC63                                         "
YOR362C  	                                                     
YOR370C  	MSI4                                                 
YOR372C  	                                                     
YOR373W  	                                                     
YPL007C  	                                                     
YPL010W  	                                                     
YPL011C  	TAF47                                                
YPL012W  	                                                     
YPL016W  	"LPA1, GAM3, ADR6                                     "
YPL020C  	NIB1                                                 
YPL028W  	"TSM0115, LPB3                                        "
YPL043W  	NOP77                                                
YPL044C  	                                                     
YPL063W  	                                                     
YPL076W  	GCR4                                                 
YPL082C  	"BTAF1, LPF4, BUR3                                    "
YPL083C  	                                                     
YPL085W  	LPF1                                                 
YPL093W  	                                                     
YPL094C  	LPG14                                                
YPL117C  	"LPH10, BOT2                                          "
YPL122C  	                                                     
YPL124W  	"NIP29, LPH3                                          "
YPL126W  	UTP17                                                
YPL128C  	LPI16                                                
YPL131W  	"RPL1, LPI14                                          "
YPL142C  	                                                     
YPL143W  	RPL37A                                               
YPL146C  	RRP16                                                
YPL151C  	NTC50                                                
YPL153C  	"SPK1, MEC2, LSD1                                     "
YPL160W  	                                                     
YPL169C  	                                                     
YPL175W  	"GPI3, CWH6                                           "
YPL190C  	HMD1                                                 
YPL204W  	                                                     
YPL209C  	PAC15                                                
YPL210C  	                                                     
YPL211W  	                                                     
YPL217C  	                                                     
YPL218W  	                                                     
YPL228W  	CES5                                                 
YPL231W  	                                                     
YPL233W  	                                                     
YPL235W  	"TIP49, TIH2, TIP49B                                  "
YPL237W  	                                                     
YPL238C  	                                                     
YPL242C  	CYK1                                                 
YPL243W  	                                                     
YPL251W  	                                                     
YPL252C  	                                                     
YPL255W  	                                                     
YPL266W  	CDH1                                                 
YPR010C  	"SRP3, RRN2, RPA2                                     "
YPR016C  	CDC95                                                
YPR019W  	"MCM4, HCD21                                          "
YPR025C  	                                                     
YPR033C  	TSM4572                                              
YPR034W  	"RSC11, SWP61                                         "
YPR035W  	                                                     
YPR041W  	SUI5                                                 
YPR048W  	                                                     
YPR055W  	                                                     
YPR056W  	                                                     
YPR082C  	SNU16                                                
YPR085C  	                                                     
YPR086W  	SOH4                                                 
YPR088C  	SRH1                                                 
YPR094W  	                                                     
YPR103W  	"SRR2, PRG1, DOA3                                     "
YPR104C  	                                                     
YPR105C  	"SGF1, SEC38, COD1                                    "
YPR107C  	                                                     
YPR108W  	                                                     
YPR110C  	RPC5                                                 
YPR112C  	                                                     
YPR113W  	                                                     
YPR133C  	IWS1                                                 
YPR136C  	                                                     
YPR137W  	                                                     
YPR142C  	                                                     
YPR143W  	                                                     
YPR144C  	UTP19                                                
YPR161C  	BUR1                                                 
YPR162C  	                                                     
YPR165W  	                                                     
YPR168W  	MED10                                                
YPR169W  	                                                     
YPR175W  	                                                     
YPR176C  	                                                     
YPR177C  	                                                     
YPR178W  	RNA4                                                 
YPR180W  	RHC31                                                
YPR181C  	                                                     
YPR182W  	                                                     
YPR183W  	SED3                                                 
YPR186C  	TFC2                                                 
YPR187W  	RPB6                                                 
YPR190C  	RPC3                                                 
